"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","comments","bibliographicCitation"
"1","2018-06-30T18:43:16.000+0000","JBRJ","RB","RB01382326","Licania spicata Hook.f.","cf.","Chrysobalanaceae","Licania","spicata","Hook.f.","C. Baez",NA,NA,"1346",NA,"C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,1,19,"Brazil","Rio de Janeiro","Cachoeiras de Macacu","Guapiaçu. Trilha verde. Parque Estadual dos Três Picos/ Reserva Ecológica de Guapiaçu",-42.735833,-22.414722,"Árvore matriz nº 53; CAP 167 cm; Tronco com lenticelas verticais. Corte vinho escuro. Folhas de face adaxial verde e abaxial prateada quando jovem e ferrugíneas após. Flores alvas.","urn:catalog:JBRJ:RB:1382326","Licania spicata Hook.f.",NA,NA,NA
"2","2017-10-19T05:23:13.000+0000","JBRJ","RB","RB00425664","Licania spicata Hook.f.","cf.","Chrysobalanaceae","Licania","spicata","Hook.f.","J.Wesenberg",NA,NA,"08",NA,"J.Wesenberg; C.Seele, A.Lindner",2004,4,16,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, Morro St.Antônio do Mirim. Próximo ao mirante Alexandre Oliveira. Parque Nacional da Serra dos Órgãos",-42.988055,-22.451389,"Árvore, DAP 8,2 cm, altura ca 13m, casca interna vermelha.","urn:catalog:JBRJ:RB:425664","Licania spicata Hook.f.",NA,NA,NA
"3",NA,"UFV","VIC","30913","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","Prance, G.T.","2007-07-24T00:00:00.000+0000",NA,"56",NA,"Teixeira, R.N.C.; et al.",2004,9,15,"Brazil","Espírito Santo","Santa Maria de Jetibá","Prorpiedade do Sr. Helmar Gummes, Fragmento Florestal à 5,0 Km do Município de Santa Maria de Jetibá. Floresta Ombrófila Densa Montana.",-40.696111,-20.045417,"Árvore, c.a. de 8,0 metros, com fruto marrom, coletada no interior e orda de mata.","BRA:UFV:VIC:0000030913","Licania spicata Hook.f.",NA,NA,NA
"4","2017-10-19T08:08:09.000+0000","JBRJ","RB","RB00425669","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","C.Seele & J.Wesenberg",NA,NA,"224",NA,"C.Seele",2004,11,5,"Brazil","Rio de Janeiro","Teresópolis","Parque Nacional da Serra dos Órgãos, near to the hostal of the National Park. . Parque Nacional da Serra dos Órgãos",-42.996944,-22.457222,"Treelet, about 1,5 m high.","urn:catalog:JBRJ:RB:425669","Licania spicata Hook.f.",NA,NA,NA
"5",NA,"Reserva Natural Vale (CVRD)","CVRD","7173","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","Ghillea T. Prance","2008-08-15T00:00:00.000+0000",NA,"40",NA,"Luz, A.A. da",2001,12,14,"Brazil","Es","BAIXO GUANDU",NA,NA,NA,"<ll>dwc_commonname:</ll> Bafo de vaca","BRA:CVRD:CVRD:0000007173","Licania spicata Hook.f.",NA,NA,NA
"6",NA,"UFV","VIC","28160","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","Prance, G.T.","2007-07-24T00:00:00.000+0000",NA,"224",NA,"Lopes, W.P. de",1996,12,12,"Brazil","Minas Gerais","Marliéria","Parque Estadual do Rio Doce (PERD), Estrada do restaurante.",0,0,"Árvore, c.a. de 7,0 metros de altura; folhas discolores; frutos imaturos verdes.","BRA:UFV:VIC:0000028160","Licania spicata Hook.f.",NA,NA,NA
"7",NA,"UFPR","UPCB","27619","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","Prance, G.T.","1996-01-01T00:00:00.000+0000",NA,"61510",NA,"Hatschbach, G.",1995,1,15,"Brazil","Espírito Santo","Venda Nova do Imigrante","BLOQUEADO",NA,NA,"Árvore, 20m, flor creme. Mata pluvial..","BRA:UFPR:UPCB:0000027619","Licania spicata Hook.f.",NA,NA,NA
"8",NA,"UEFS","HUEFS","29053","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.",NA,NA,NA,"61510",NA,"Hatschbach, G.",1995,1,15,"Brazil","Espírito Santo","Venda Nova do Imigrante","Alto Bananal",NA,NA,"Mata pluvial","BRA:UEFS:HUEFS:0000029053","Licania spicata Hook.f.",NA,NA,NA
"9",NA,"MA","MA","580815-1","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.",NA,NA,NA,"61510",NA,"G. & M. Hatschbach & J.J. Silva",1995,1,15,"Brazil",NA,NA,"Alto Bananal (mun. Venda Nova do Imigrante) Espírito Santo",NA,NA,"mata pluvial",NA,"Licania spicata Hook.f.",NA,NA,NA
"10",NA,"NY","NY","378695","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","G. T. Prance","1996-01-01T00:00:00.000+0000",NA,"61510",NA,"G. G. Hatschbach",1995,1,15,"Brazil","EspÃ­rito Santo",NA,"Alto Bananal",-41.1344248783044,-20.343517551792,NA,"1c8c3a74-78f2-4d85-acf2-53ef12c0aadb","Licania spicata Hook.f.",NA,NA,NA
"11","2012-06-11T00:00:00.000+0000","E","E","E00081731","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.",NA,NA,NA,"61510",NA,"Hatschbach, G.; Hatschbach, M. & Silva, J.M.",1995,1,15,NA,NA,NA,NA,NA,NA,NA,"http://data.rbge.org.uk/herb/E00081731","Licania spicata Hook.f.",NA,NA,NA
"12",NA,"MBML","MBML-HERBARIO","10989","Licania spicata Hook.f.",NA,"Chrysobalanaceae","Licania","spicata","Hook.f.","G. T. Prance/1996",NA,NA,"61607",NA,"G. Hatschbach; et al",1995,1,17,"Brazil","Espírito Santo","Domingos Martins","Rod. BR-262, próximo a Vitor Hugo, Rio Jucu Braço Sul",-40.659167,-20.363333,"Arvore, 25m. Flor creme. Mata pluvial.","BRA:MBML:MBML-HERBARIO:0000010989","Licania spicata Hook.f.",NA,NA,NA
