"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2018-05-07T15:40:18.000+0000","JBRJ","RB","RB01382382","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H. C. de Lima & A. Novaes",NA,NA,"1404","C. Baez; E. Fernandez, R. Gomes, D. Maurenza",2018,2,1,"Brazil","Rio de Janeiro","Valença","Mata de encosta após pasto da ""Fazenda da Concórdia"". Parque Estadual da Serra da Concórdia",-43.734444,-22.354444,"Árvore matriz nº 29; CAP 158 cm.; Tronco cinza. Seiva transparente/amarelada no corte. Ramos jovens, raque e pecíolo com indumento ferrugíneo. Folíolos verdes discolores. Frutos pretos no chão.","urn:catalog:JBRJ:RB:1382382","Enterolobium glaziovii (Benth.) Mesquita"
"2","2018-05-09T11:05:07.000+0000","JBRJ","RB","RB01386659","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima",NA,NA,"8655","Haroldo C. de Lima; L.B. do Nascimento, G.A. Queiroz, T. Fernandes, R. Albuquerque & L.C.G. Rodrigues",2018,4,20,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Boa Esperança, Estrada para a Represa. Floresta de encosta. Reserva Biológica do Tinguá",-43.388889,-22.564444,"Árvore cerca de 18 metros de altura. Tronco com casca lisa e acinzentada, DAP cerca de 70 centímetros. Frutos passados no chão. Ocasional. Nome vulgar: ""orelha-de-macaco"". RBcarpo 8661","urn:catalog:JBRJ:RB:1386659","Enterolobium glaziovii (Benth.) Mesquita"
"3","2017-10-15T12:18:18.000+0000","JBRJ","RB","RB01200138","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","H.C. de Lima",NA,NA,"8363","Haroldo C. de Lima; J.M.A. Braga, L.J.T. Cardoso, C. de Carvalho & W. da Silva",2016,11,1,"Brazil","Rio de Janeiro","Nova Iguaçu","Tinguá, Represa de Macuco, picada para a Pedra da Onça. Reserva Biológica do Tinguá",-43.435,-22.576944,"Árvore com 20-25 metros de altura. Tronco com casca fissurado-escamosa, pardo-acastanhada, DAP ca. 120 cm. Frutos passados no chão. Ocasional. Fotos HCL. RBcarpo 8010","urn:catalog:JBRJ:RB:1200138","Enterolobium glaziovii (Benth.) Mesquita"
"4","2017-10-18T15:25:42.000+0000","JBRJ","RB","RB00864300","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","G. R. Souza; M. Gomes & G.A. Nobrega",NA,NA,NA,"Mendonça-Junior, J. O.",2014,5,12,"Brazil","Rio de Janeiro","Varre-Sai","Conglomerado 287-Ex. UTM E(198790m) N(7688418m). Fuso do GPS (24K).",NA,NA,"Árvore com base digita. casca externa marrom-cinza escuro, grossa, laminada. Fruto imaturo com 4cm de raio, em forma de leg. cor interna verde com arilo e externa verde, seco.","urn:catalog:JBRJ:RB:864300","Enterolobium glaziovii (Benth.) Mesquita"
"5","2016-10-05T15:56:14.000+0000","JBRJ","RB","RB01183854","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","D.A. Folli",NA,NA,"7128","D.A. Folli",2013,11,4,"Brazil","Espírito Santo","Linhares","Área experimental da Reserva Natural Vale.",NA,NA,NA,"urn:catalog:JBRJ:RB:1183854","Enterolobium glaziovii (Benth.) Mesquita"
"6",NA,"Reserva Natural Vale (CVRD)","CVRD","14606","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Domingos A. Folli","2013-11-04T00:00:00.000+0000",NA,"7128","Folli, D.A.",2013,11,4,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000014606","Enterolobium glaziovii (Benth.) Mesquita"
"7","2017-10-19T07:27:09.000+0000","JBRJ","RB","RB00485116","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Nina L. de A. Nunes",NA,NA,"12","Nina L. de A. Nunes; H.C. de Lima, F.L.R. Filardi, J.E. Meireles",2007,3,15,"Brazil","Rio de Janeiro","Miguel Pereira","Estrada de Fragoso para Vera Cruz, na faixa do orbel I 20 m após a caixa d´água da CEDAE.",-43.476389,-22.4825,"Árvore 18 m de altura, CAP 207 cm. Tronco com escamas quadriculares. Com frutos jovens esverdeados e frutos passados no chão.","urn:catalog:JBRJ:RB:485116","Enterolobium glaziovii (Benth.) Mesquita"
"8",NA,"Reserva Natural Vale (CVRD)","CVRD","9666","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Domingos A. Folli","2006-08-03T00:00:00.000+0000",NA,"5335","Folli, D.A.",2006,8,3,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Orelha de macaco","BRA:CVRD:CVRD:0000009666","Enterolobium glaziovii (Benth.) Mesquita"
"9",NA,"UFES","VIES","19681","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita","Chagas, A.P.","2014-03-01T00:00:00.000+0000",NA,"5335","Folli, D.A.",2006,8,3,"Brazil","Espírito Santo","Linhares","Reserva Natural Vale.",NA,NA,"Fruto maduro preto, fruto imaturo verde, terrestre.","BRA:UFES:VIES:0000019681","Enterolobium glaziovii (Benth.) Mesquita"
"10","2014-07-08T04:46:52.000+0000","JBRJ","RB","RB00160538","Enterolobium glaziovii (Benth.) Mesquita","Fabaceae","Enterolobium","glaziovii",NA,"(Benth.) Mesquita",NA,NA,NA,"462","R. D. Ribeiro; C. M. R. de Paula, C. S. Salgado, T. S. Souza & A. Menescal",2005,5,14,"Brazil","Rio de Janeiro","Miguel Pereira","São José, sítio Xapuri.",NA,NA,"Arvoreta com 13 metros de altura tronco grosso de cor claro. Folhas de raque amarronzado e folíolos discolores. Frutos verdes amarelado.","urn:catalog:JBRJ:RB:160538","Enterolobium glaziovii (Benth.) Mesquita"
