"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","14407","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Marra, D.M.","2013-11-08T00:00:00.000+0000",NA,"24",NA,"Marra, D.M.; Reis, F.Q. & Neves, A.F.",2012,10,17,"Brazil","Amazonas","Manaus","Estação Experimental de Silvicultura Tropical (EES, Floresta de terra-firme (ca. 250 hectares) atingida por uma tempestade de vento ocorrida no ano de 2005; lado esquerdo do ramal, transecto médio",-60.404111,-2.977458,"árvore; DAP = 20.5 cm; base dilatada; ritidoma marrom-avermelhado; apículo proeminente na base do folíolo; coletada em floresta de terra-firme atingida por tempestade de vento ocorrida em Janeiro/2005; Parcelas permanentes instaladas ao longo de tran; HA","BRA:IFAM - CMZL:EAFM:0000014407","Macrolobium longipedicellatum Ducke"
"2","2012-09-10T00:00:00.000+0000","K","Herbarium","K000834741","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke",NA,NA,NA,"1557",NA,"Maciel, U.N.; Rosário, C.S.",1989,1,18,"Brazil",NA,"Porto Velho","UHE de Samuel, Rio Jamari.",NA,NA,"See carp. cole","http://specimens.kew.org/herbarium/K000834741","Macrolobium longipedicellatum Ducke"
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","181654","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Ramos, J.F.","2012-02-01T00:00:00.000+0000",NA,"3281",NA,"Mike Hopkins",1987,11,24,"Brazil","Amazonas",NA,"Alto Rio Negro, estrada para Camanaús, logo após o entroncamento da estrada para o Aeroporto",NA,NA,NA,"urn:catalog:inpa:herbarium:82800","Macrolobium longipedicellatum Ducke"
"4","2012-09-10T00:00:00.000+0000","K","Herbarium","K000834742","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Barneby, R.",NA,NA,"2790",NA,"Ferreira, C.A.; Neves, F.; Lima, H.C.; Guedes, J.",1986,11,26,"Brazil",NA,"São Paulo de Olivença","Alto Solimões. Estrada do Bonfim, logo após a saída da cidade de São Paulo de Olivença.",-69,-3.5,"Projeto Flora Amazônica. Convênio CNPq - NSF","http://specimens.kew.org/herbarium/K000834742","Macrolobium longipedicellatum Ducke"
"5",NA,"US","Botany","3108631","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Barneby, R. C.",NA,NA,"2790",NA,"H. C. Lima, J. Guedes, C. A. Cid Ferreira & F. Neves",1986,11,26,"Brazil","Amazonas",NA,"Alto solimoes; estrada do bonfim",-69,-3.5,NA,"http://n2t.net/ark:/65665/36ab0ca92-6797-4c60-a742-a2e413fbf65d","Macrolobium longipedicellatum Ducke"
"6",NA,"NY","NY","1162447","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","R. C. Barneby","1988-01-01T00:00:00.000+0000",NA,"2790",NA,"H. C. de Lima",1986,11,26,"Brazil","Amazonas",NA,"Alto SolimÃµes, estrada do Bonfim, logo apÃ³s a saÃ­da da cidade de SÃ£o Paulo de OlivenÃ§a.",-68.935084,-3.471174,NA,"32f9fee3-1a17-4845-87b5-ee592b8359bf","Macrolobium longipedicellatum Ducke"
"7","2014-07-22T08:19:42.000+0000","JBRJ","RB","RB00145743","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","A.S.L. Silva e N.C. Bastos","1979-01-01T00:00:00.000+0000",NA,"689",NA,"O.C. Nascimento",1978,10,19,"Brazil","Amazonas","São Gabriel da Cachoeira","Camanaus, margem da estrada Camanaus - São Gabriel.",NA,NA,"Arbusto de 5 m de altura, flor branca","urn:catalog:JBRJ:RB:145743","Macrolobium longipedicellatum Ducke"
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","85239","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Coêlho, L.F.","1982-08-01T00:00:00.000+0000",NA,"PFE491",NA,"Mike Hopkins",1978,10,20,"Brazil","Amazonas",NA,"Perimetral Norte, Perimetral Norte.",NA,NA,NA,"urn:catalog:inpa:herbarium:96032","Macrolobium longipedicellatum Ducke"
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","53707","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","""Coêlho, L.F.; Silva, M.F. da""","1978-01-01T00:00:00.000+0000",NA,"96",NA,"Mike Hopkins",1975,4,10,"Brazil","Amazonas",NA,"Rio Negro.",NA,NA,NA,"urn:catalog:inpa:herbarium:113283","Macrolobium longipedicellatum Ducke"
"10",NA,"MN","R","163209","Macrolobium longipedicellatum Ducke",NA,"Fabaceae","Macrolobium","longipedicellatum","Ducke","Arroyo, M.T.","1972-01-01T00:00:00.000+0000",NA,"s.n.",NA,"Prance, G.T.",1971,10,30,"Brazil",NA,NA,NA,NA,NA,NA,"BRA:MN:R:0000163209","Macrolobium longipedicellatum Ducke"
