"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","infraspecificEpithet","typeStatus","fieldNumber","comments","bibliographicCitation"
"1",NA,"Universidade Federal de Mato Grosso (UFMT)","CNMT","1045","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Melo, J.A.M.; Ferneda Rocha, L.C.;Silva, A.B.","2015-07-01T00:00:00.000+0000",NA,"Sardelli, L.F.; Oliveira, V.F.; Thomé, R.S.;Silva, J.A.",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colider. Lote B deSupressão.",-55.498889,-11.006667,"Base reta, tronco reto, casca liso, casca morta marrom. FolhasSimples. Frutos maduros roxos, ovais, imaturos verde.","BRA:UFMT:CNMT:0000001045","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"2","2017-10-15T11:41:29.000+0000","JBRJ","RB","RB01078205","Pseudoxandra duckei Maas","cf.","Annonaceae","Pseudoxandra","duckei","Maas","J.A.M. Melo; L.C.F. Rocha et A.B. Silva",NA,NA,"L. Sardelli; V.F. Oliveira; R.S. Thomé; J.A. Silva",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate de FLORA da UHE Colíder, Lote B de supressão.",NA,NA,"Altura 5m. CAP 68cm. Árvore, base reta, tronco reto, casca liso, casca morta marrom. Folhas simples. Frutos maduros roxos, ovais, imaturos verde","urn:catalog:JBRJ:RB:1078205","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"3",NA,"MBM","MBM","402616","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Melo, JAM","2015-07-01T00:00:00.000+0000","s.n.","Sardelli, L; Oliveira, VF; Thomé, RS; Silva, JA",2014,9,18,"Brazil","Mato Grosso","Colíder","Resgate da Flora da UHE Colíder, Lote B de supressão",-55.499167,-11.006944,"Árvore, 5m, CAP=68cm, base reta, tronco reto, casca lisa, casca morta marrom. Folhas simples. Frutos maduros roxos, ovais, imaturos verdes.; Floresta do ""Planalto dos Parecis"", região de ecótono entre a Floresta Amazônica e Cerrado.","BRA:MBM:MBM:0000402616","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"4",NA,"Universidade Tecnológica Federal do Paraná (UTFPR)","HCF","24802","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","J.A.M. Melo et al.","2015-07-01T00:00:00.000+0000",NA,"L. Sardelli",2014,9,18,"Brazil","Mt","Colider","Resgate de FLORA da UHE Colider, Lote",-55.490556,-11.006667,"Floresta do ""Planalto dos Parecis"", região de ecótono entre a Floresta Amazônica e Cerrado. Encontrada em floresta Amazônica, solo úmido. Altura 5m. CAP: 68cm. Árvore, base reta, tronco reto, casca lisa, casca morta marrom. Folhas simples. Frutos maduros roxos, ovais, imaturos verdes.","BRA:UTFPR:HCF:0000024802","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"5",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","1782","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2009-12-17T00:00:00.000+0000","s.n.","Stropp, J.; Assunção, P.",2007,7,NA,"Brazil","Amazonas","São Gabriel da Cachoeira","Parque Nacional do Pico da Neblina, Próximo a Torre do LBA.",0,0,"Floresta de Terra Firme. ; HA","BRA:IFAM - CMZL:EAFM:0000001782","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"6","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","234221","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2009-12-17T00:00:00.000+0000","INPA234221","Mike Hopkins",2007,7,NA,"Brazil","Amazonas",NA,"Área de terra-firme nas proximidades da torre do LBA - Parque Nacional Pico da Neblina",-67.29,0.353417,NA,"urn:catalog:inpa:herbarium:216270","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","189689","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Ramos, J.F.","2014-09-01T00:00:00.000+0000","690","Mike Hopkins",1996,1,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Sabiá 2. Solo arenoso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:34058","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","20447","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000","67-16","Mike Hopkins",1967,4,6,"Brazil","Amazonas",NA,"""Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.""",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:2221","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"9","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","2047","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000","67-16","Mike Hopkins",1967,4,6,"Brazil","Amazonas",NA,"""Reserva Florestal Adolfo Ducke, Estrada Manaus-itacoatiara, km 26, Reserva Florestal Ducke. Mata de terra firme, solo argilo-arenoso; material fixado.""",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:239848","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
"10","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","17122","Pseudoxandra duckei Maas",NA,"Annonaceae","Pseudoxandra","duckei","Maas","Maas, P.J.M.","2001-01-01T00:00:00.000+0000","7815","Mike Hopkins",1966,5,4,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke, Q. XIII. Mata de terra firme, solo argiloso.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:162642","Pseudoxandra duckei Maas",NA,NA,NA,NA,NA
