"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage","identificationQualifier","infraspecificEpithet","typeStatus","comments"
"1",NA,"Universidade Federal de Mato Grosso (UFMT)","CNMT","5436","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Cordova, M.O.","2017-02-13T00:00:00.000+0000","550",NA,"Cordova, M.O.; Giacoppini, R.F.; Keffer, J.F.",2016,11,24,"Brazil","Mato Grosso","Nova Ubiratã","Estação Ecológica (ESEC) Rio Ronuro. RegiãoSul. Margem do rio Ronuro.",-54.429092,-13.113483,"Flores esverdeadas, pubescente ramos jovens e pecíolo.","BRA:UFMT:CNMT:0000005436",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"2",NA,"Cenargen","CEN","87352","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","J. B. Bringel",NA,"2341",NA,"Marcelo Fragomeni Simon",2014,3,25,"Brazil","Mt","VILA BELA DA SANTISSIMA TRINDADE","Sítio próximo à Baía do Arrozal, 4km NE de Vila Bela",-59.918333,-14.984722,"Árvore bastante ramificada com 4 m de altura. Flores esverdeadas com interior amarelo. Frequente.","BRA:Cenargen:CEN:0000087352",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"3","2015-01-12T12:19:48.000+0000","K","Herbarium","K000578760","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Milliken, W.",NA,"1496",NA,"Frisby, S.; Henicka, G.; Piva, J.; Milliken, W.; Zappi, D.C.; Sasaki, D.",2008,8,29,"Brazil",NA,"Novo Mundo","Parque Estadual Cristalino. Entrada a 7 km a Sul da Pousada, 250 m da margem do Rio Cristalino.GPS :R 132",-55.91,-9.48,NA,"http://specimens.kew.org/herbarium/K000578760",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"4",NA,"USP","SPF","207111","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Milliken, W",NA,"1496",NA,"Zappi, DC; Sasaki, D; Milliken, W; Frisby, S; Henicka, GS; Piva, JH",2008,8,29,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual do Cristalino, Parque Estadual Cristalino. Entrada a 7 km a Sul da Pousada, 250 m da margem do Rio Cristalino.",-55.5427,-9.2901,"Arvoreta 5 m alt. Frutos verdes.; Campinarana estacionalmente alagada.","BRA:USP:SPF:0000207111",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"5",NA,"NY","NY","01131925","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","W. Milliken",NA,"1496",NA,"D. C. Zappi",2008,8,29,"Brazil","Mato Grosso",NA,"Parque Estadual Cristalino. Entrada a 7 km. a Sul da Pousada, 250 m. da margem do Rio Cristalino.",-55.907464,-9.483414,"Projeto Flora Cristalino.","e26a0a04-e138-4a0d-a86c-7b02dba918f6",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"6",NA,"UNEMAT","HERBAM","2529","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Milliken, W","2008-01-01T00:00:00.000+0000","1496",NA,"Zappi, DC; Sasaki, D; Milliken, W; Frisby, S; Henicka, GS; Piva, JH",2008,8,29,"Brazil","Mato Grosso","Novo Mundo","Parque Estadual Cristalino, Campinarama estacionalmente alagada.",-55.908056,-9.485278,"Projeto Flora Cristalino","BRA:UNEMAT:HERBAM:0000002529",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"7",NA,"UnB","UB","114780","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Bulhão, CF","2004-04-01T00:00:00.000+0000","415",NA,"Bulhão, CF",2004,2,22,"Brazil","Mato Grosso","Nova Xavantina","Fazenda Pontal. Foz do Rio Pindaíba.",-51.718611,-14.455556,"Casca lisa; entrecasca rosada. Cálice verde e corla bege escuro.; Árvore 7m.; Mata ciliar.","BRA:UnB:UB:0000114780",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"8","2014-07-07T20:36:23.000+0000","JBRJ","RB","RB00610730","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Rosário C. da",NA,"2297",NA,"Rosário C. da; Almeida E.",2003,3,30,"Brazil","Pará","Ourilândia do Norte","Colônia Nosso Campos, Serra da Onça.",NA,NA,"Arvoreta de 4 metros de altura. Flores esverdeadas. Duas amostras.","urn:catalog:JBRJ:RB:610730",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"9",NA,"Cenargen","CEN","41068","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","J. C. Lopes",NA,"4750",NA,"Glocimar Pereira-Silva",2001,2,22,"Brazil","Go","CAVALCANTE","Estrada vicinal á esquerda, cerca de 1,5 km após a balsa da COTERRA (Rio Tocantins), margem esquerda do Rio Macacão.",-48.08472,-13.56306,"Área de influência da futura Hidrelétrica de Cana Brava, influência direta (lago).","BRA:Cenargen:CEN:0000041068",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
"10",NA,"USP","SPF","215440","Guatteria rigida R.E.Fr.","Annonaceae","Guatteria","rigida","R.E.Fr.","Lopes, JC","2016-01-01T00:00:00.000+0000","4750",NA,"Pereira-Silva, G",2001,2,21,"Brazil","Goiás","Cavalcante",NA,-48.084722,-13.563056,NA,"BRA:USP:SPF:0000215440",NA,"Guatteria rigida R.E.Fr.",NA,NA,NA,NA
