"","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1","Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","8711","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche","H. Lorenzi","1997-09-03T00:00:00.000+0000","1719","H. Lorenzi",1997,9,3,"Brazil","Pa","Barcarena","Coletado na Reserva da Albras.",NA,NA,"BRA:JBP:HPL:0000008711","Vochysia inundata Duche"
"2","Instituto de Investigación de Recursos Biológicos Alexander von Humboldt (IAvH)","FMB","FMB-54050","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche","Restrepo, Diego","1991-11-02T00:00:00.000+0000","207","Restrepo, Diego | Matapí, A.",1991,11,2,"Colombia","Amazonas",NA,"Región de Araracuara, alrededores de la pista áerea",-72.5,-0.416667,"IAvH:FMB-54050","Vochysia inundata Duche"
"3","US","Botany","3313607","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"30193","G. T. Prance, A. Fernandes & J. Cardoso",1987,11,1,"Brazil","Pará",NA,"Ilha de Marajó, Rio Anajás, just above Anajás.",-49.92,-59,"http://n2t.net/ark:/65665/36023adb8-82a7-4a9c-8da0-4e86d5448808","Vochysia inundata Duche"
"4","US","Botany","3313604","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1865","J. M. Poole",1979,7,4,"Brazil","Amazonas",NA,"Ilha Acarabu, at mouth of the Rio Marié",-66.42,-0.42,"http://n2t.net/ark:/65665/367b5551f-2fe1-4230-80f2-1e76a63f6628","Vochysia inundata Duche"
"5","US","Botany","2937181","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"2764","J. L. Zarucchi, M. G. G. Vieira, R. H. Petersen, B. W. Nelson, C. D. Mota & et al.",1979,10,21,"Brazil","Rondônia",NA,"Along BR 364, 4 Km S of Ariquemes, wooded slope along road",-63.07,-9.97,"http://n2t.net/ark:/65665/356163f62-3d34-462d-8195-3cfc97dc685e","Vochysia inundata Duche"
"6","US","Botany","2621015","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1600","N. T. Silva",1969,1,10,"Brazil","Pará",NA,"Rio Jarí, Monte Dourado, Estrada do Bandeiro",NA,NA,"http://n2t.net/ark:/65665/350e2b56a-a5ba-439f-afa5-444389c8c6cf","Vochysia inundata Duche"
"7","US","Botany","2439259","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"343","A. Silva",1944,6,NA,"Brazil","Pará",NA,"On lands of Instituto Agronômico do Norte, 4 Km SO of Adminstration Building. Trails near Rubber Factory, Rio Guamá",NA,NA,"http://n2t.net/ark:/65665/3dfc2bb03-ed39-4c9f-a9bd-26140f80a1d9","Vochysia inundata Duche"
"8","US","Botany","2608085","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1652","A. Ducke",1944,11,9,"Brazil","Pará",NA,"Agua Preta.",NA,NA,"http://n2t.net/ark:/65665/3543e2079-94e7-43f5-9683-73d6a190e6bc","Vochysia inundata Duche"
"9","US","Botany","1832420","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1158","A. Ducke",1943,1,7,"Brazil","Amazonas",NA,"Silva paludosa secus rivulum circa Estrada da Raiz.",NA,NA,"http://n2t.net/ark:/65665/38446b560-d2b5-461e-8727-41e11741d6fe","Vochysia inundata Duche"
"10","US","Botany","2608086","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"1158","A. Ducke",1943,1,7,"Brazil","Amazonas",NA,"Estrada da Raiz",NA,NA,"http://n2t.net/ark:/65665/366f23aef-1ad8-4921-b0c0-e35d7d9fa92b","Vochysia inundata Duche"
"11","US","Botany","1518635","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"s.n.","A. Ducke",1929,12,24,"Brazil","Amazonas",NA,"Colonia de Tarumá",NA,NA,"http://n2t.net/ark:/65665/3d60a1591-0a39-4c6a-951e-90a3c2a554fd","Vochysia inundata Duche"
"12","US","Botany","1441895","Vochysia inundata Duche","Vochysiaceae","Vochysia","inundata","Duche",NA,NA,"s.n.","A. Ducke",1923,2,8,"Brazil","Pará",NA,NA,NA,NA,"http://n2t.net/ark:/65665/3c6094782-c9ea-4c56-80ba-87750c2c027a","Vochysia inundata Duche"
