"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1","2015-01-09T09:41:16.000+0000","JBRJ","RB","RB00912656","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.","G.H. Shimizu","2009-01-01T00:00:00.000+0000",NA,"74298",NA,"G. Hatschbach; M. Hatschbach; J.M. Silva",2002,11,16,"Brazil","Mato Grosso do Sul","Bela Vista","Rod. BR-267, 10-15km Oeste de alto Caracol.",NA,NA,"Árvore típica do Cerrado; flor lilás","urn:catalog:JBRJ:RB:912656","Vochysia parviflora Spruce ex Warm."
"2",NA,"IMA","MAC","31576","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.","M.l. Guedes","2003-01-01T00:00:00.000+0000",NA,"s.n.",NA,"M.A.Batista; -",2000,10,26,"Brazil","Bahia","Irecê","Santo Inácio, Gentil do Ouro.",-42.721389,-11.111111,"Árvore ca. de 5m de altura. Flores lilás.; Caatinga.","BRA:IMA:MAC:0000031576","Vochysia parviflora Spruce ex Warm."
"3",NA,"Universidade Federal de Juiz de Fora (UFJF)","CESJ","28885","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.",NA,NA,NA,"s.n.",NA,"F.R.G. Salimena; P.H. Nobre",1995,10,12,"Brazil","Minas Gerais","Brasilândia de Minas","Rod. João Pinheiro, Km 16",0,0,"Arvoreta 1,20m, flores lilases, frutos maduros, com muitas abelhas. Cerrado.","BRA:UFJF:CESJ:0000028885","Vochysia parviflora Spruce ex Warm."
"4",NA,"UEFS","HUEFS","31340","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.","F.França","1997-11-01T00:00:00.000+0000",NA,"3536",NA,"Coradin, L.",1980,10,5,"Brazil","Goiás","Formoso do Araguaia","Entroncamento Br-153, Formoso do Araguaia, km 15-Go.",-49.316667,-11.95,NA,"BRA:UEFS:HUEFS:0000031340","Vochysia parviflora Spruce ex Warm."
"5","2015-01-06T00:00:00.000+0000","K","Herbarium","K001108299","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.","Marcano-Berti, L.",NA,NA,"1865",NA,"Alencar, L.; Schuster, R.M.; Gomes, L.P.; Soares. J. Ramos, E.; Mota, C.D.A.; Poole, J.M.; Buck, W.R.; Yano, O.",1979,7,4,"Brazil",NA,NA,"Collected along the Rio Negro between Manaus and São Gabriel. Ilha Acarabu, at mouth of Rio Marié.",-66.42,-0.42,"Projeto Flora Amazônica. Collected with the support of the National Science Foundation, the Conselho Nacional de Desenvolvimento Científico e Tecnológico, The New York Botanical Garden and the Instituto Nacional de Pesquisas da Amazônia","http://specimens.kew.org/herbarium/K001108299","Vochysia parviflora Spruce ex Warm."
"6","2014-07-07T18:21:19.000+0000","JBRJ","RB","RB00544522","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.",NA,NA,"ISOTYPE","1974",NA,"Spruce, R.",1851,12,NA,"Brazil","Amazonas","Amazonas","Rio Negro entre Barcellos e Sao Gabriel.",NA,NA,NA,"urn:catalog:JBRJ:RB:544522","Vochysia parviflora Spruce ex Warm."
"7","2017-02-16T00:00:00.000+0000","LD","General","1213689","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.",NA,NA,"ISOTYPE",NA,NA,"R. Spruce",1851,12,NA,"Brazil","Amazonas",NA,"between Barcelos and São Gabriel da Cachoeira",-64.683333,-0.466667,NA,"LD:General:1213689","Vochysia parviflora Spruce ex Warm."
"8",NA,"SNSB-M","BSMvplantscoll","M-0239543 / 700509 / 351158","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.",NA,NA,"ISOTYPE",NA,NA,"Spruce, R. (no. 1974)",1851,12,NA,"Brazil",NA,NA,"Secus Rio Negro, Brasiliae septentrionalis, inter Barcellos et San Isabel.",-55,-10,NA,"http://id.snsb.info/snsb/collection/645508/700509/351158","Vochysia parviflora Spruce ex Warm."
"13","2017-10-19T00:00:00.000+0000","NHMUK","BOT","BM000566750","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.","Frans Antonie Stafleu",NA,"ISOTYPE","1974",1974,"Richard Spruce",1851,12,NA,"Brazil","Mato Grosso do Sul",NA,"Nearest Named Place: In vicinibus Barra",NA,NA,NA,"09c34027-82b0-4684-82d5-4f9a3af94914","Vochysia parviflora Spruce ex Warm."
"16","2010-08-16T16:11:28.000+0000","Harvard University","GH","barcode-00045249","Vochysia parviflora Spruce ex Warm.","Vochysiaceae","Vochysia","parviflora","Spruce ex Warm.",NA,NA,"ISOTYPE","1974",1974,"R. Spruce",1851,12,NA,"Brazil",NA,NA,"Secus Rio Negro, inter Barcellos et San Isabel",NA,NA,NA,NA,"Vochysia parviflora Spruce ex Warm."
