"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15300","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","Marra, D.M.","2012-08-24T00:00:00.000+0000",NA,"917","Marra, D.M.; Neves, A.F. & Souza, I.G.",2012,8,24,"Brazil","Amazonas","Manaus, Presidente Figueiredo","Ramal ZF5 (SUFRAMA), BR-174, Km 83, Parcelas permanentes instaladas ao longo de transectos que cruzam uma floresta de terra-firme (ca. 900 hectares) atingida por uma tempestade de vento ocorrida no ano de 1996",-60.290139,-2.438503,"árvore, DAP = 27.3 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015300",NA,"Mezilaurus duckei subsp. van-der Werff"
"2",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15586","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","Marra, D.M.; Carneiro, V.M.C.","2012-09-05T00:00:00.000+0000",NA,"1203","Marra, D.M.; Neves, A.F. & Souza, I.G.",2012,9,5,"Brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-61.260856,-3.653264,"árvore, DAP = 10.8 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015586",NA,"Mezilaurus duckei subsp. van-der Werff"
"3",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","15579","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","Marra, D.M.; Carneiro, V.M.C.","2012-09-05T00:00:00.000+0000",NA,"1196","Marra, D.M.; Neves, A.F. & Souza, I.G.",2012,9,5,"Brazil","Amazonas","Manacapurú, Novo Airão","Reserva de Desenvolvimento Sustentável do Rio Negr, Parcelas permanentes instaladas ao longo de transectos que cruzam uma área (ca. 75 hectares) de floresta atingida por uma tempestade de vento ocorrida no ano de 1987",-61.250117,-3.652603,"árvore, DAP = 11.3 cm; Floresta de terra-firme ; HA","BRA:IFAM - CMZL:EAFM:0000015579",NA,"Mezilaurus duckei subsp. van-der Werff"
"4",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","C444","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff",NA,NA,NA,"1100","Hawes, J.",2009,12,5,"Brazil","Amazonas","Carauari","São Raimundo B",0,0,NA,"BRA:IFAM - CMZL:EAFM:000000C444",NA,"Mezilaurus duckei subsp. van-der Werff"
"5",NA,"Escola Superior de Agricultura Luiz de Queiroz, ESALQ","ESA","ESA114425","Mezilaurus duckei Werff","Lauraceae","Mezilaurus","duckei",NA,"Werff","Alves, F.M.",NA,NA,"524","Alves, F.M.",2008,4,9,"Brazil","Amazonas","Manaus",NA,NA,NA,NA,"BRA:ESALQ:ESA:0ESA114425",NA,"Mezilaurus duckei Werff"
"6",NA,"Instituto Federal de Educação, Ciência e Tecnologia (IFAM)","EAFM","1677","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","Assunção, P.; Vicentini, A.","2010-04-01T00:00:00.000+0000",NA,"533","Stropp, J.; Assunção, P.",2007,7,NA,"Brazil","Amazonas","São Gabriel da Cachoeira","Área da Forca Aerea, Próximo ao Igarapé Mindú.",0,0,"Floresta de Terra Firme. ; HA","BRA:IFAM - CMZL:EAFM:0000001677",NA,"Mezilaurus duckei subsp. van-der Werff"
"7","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","215814","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff",NA,NA,NA,"1272","Mike Hopkins",2005,6,15,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke, Reserva Florestal Ducke. Platô. Próximo à Estação Meteorológica.",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:190904",NA,"Mezilaurus duckei subsp. van-der Werff"
"8","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","191094","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","Vicentini, A.","1997-09-01T00:00:00.000+0000",NA,"1218","Mike Hopkins",1997,6,26,"Brazil","Amazonas",NA,"Reserva Florestal Adolfo Ducke",-59.97,-2.883333,NA,"urn:catalog:inpa:herbarium:201918",NA,"Mezilaurus duckei subsp. van-der Werff"
"9",NA,"NY","NY","01172039","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","A. Vicentini","1997-07-01T00:00:00.000+0000",NA,"541","P. A. C. L. AssunÃ§Ã£o",1997,7,15,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, Km 26.  Floresta de Vertente.",0,0,NA,"484b51f4-2a8d-471b-95dc-cdbfa6d5da9f",NA,"Mezilaurus duckei subsp. van-der Werff"
"10","2014-04-05T06:07:00.000+0000","MO","MO","1845905","Mezilaurus duckei subsp. van-der Werff","Lauraceae","Mezilaurus","duckei","van-der","subsp. van-der Werff","A. Vicentini","1997-01-01T00:00:00.000+0000",NA,"Assunção 541","P. A. Costa Lima Assunção",1997,7,15,"Brazil","Amazonas",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26. Floresta de Platô. Solo argiloso, dossel.",-59.96666,-2.88333,NA,"urn:catalog:MO:Tropicos:1845905","http://www.tropicos.org/Specimen/1845905","Mezilaurus duckei subsp. van-der Werff"
