"","modified","institutionCode","collectionCode","catalogNumber","scientificName","identificationQualifier","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceID","acceptedNameUsage"
"1",NA,"NY","NY","1596476","Pachira tocantina (Ducke) Fern.Alonso",NA,"Malvaceae","Pachira","tocantina","(Ducke) Fern.Alonso",NA,NA,NA,"8548",NA,"J. Revilla",1983,10,4,"Brazil","ParÃ¡",NA,"PA-149, Ã¡rea de desmatamento, ramal da massa fÃ¡lida.",-49.673567,-3.764569,"e8a09c45-179d-44c9-b6a3-4157052da053","Pachira tocantina (Ducke) Fern.Alonso"
"2",NA,"IAC","IAC","13772","Bombacopsis tocantina (Ducke) A.Robyns",NA,"Malvaceae","Pachira","tocantina","(Ducke) A.Robyns","V.L.C. Martins","1998-01-13T00:00:00.000+0000",NA,"23378",NA,"R.L. Fróes",1948,9,4,"Brazil","Amazonas",NA,"RemanSão , Rio Tocantins",NA,NA,"BRA:IAC:IAC:0000013772","Bombacopsis tocantina (Ducke) A.Robyns"
"3","2014-09-26T00:00:00.000+0000","Instituto Nacional de Pesquisas da Amazônia (INPA)","Coleção Botânica, Instituto Nacional de Pesquisas da Amazônia (INPA)","2289","Pachira tocantina (Ducke) Fern.Alonso","aff.","Malvaceae","Pachira","tocantina","(Ducke) Fern.Alonso","Duarte, M.C.",NA,NA,"47-967",NA,"Mike Hopkins",1947,6,29,"Brazil","Pará",NA,"Belterra, Belterra (Instituto Agronômico do Norte).",NA,NA,"urn:catalog:inpa:herbarium:15491","Pachira tocantina (Ducke) Fern.Alonso"
"4",NA,NA,"Botany","U.1376316","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke",NA,NA,NA,NA,NA,"Ducke A",1916,7,19,"unknown or invalid",NA,NA,NA,NA,NA,"http://data.biodiversitydata.nl/naturalis/specimen/U.1376316","Bombax tocantinum Ducke"
"5",NA,"B","FMNH-B-Types","9546","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke",NA,NA,"TYPE","s.n.",NA,"A. Ducke",1916,7,19,"Brazil",NA,NA,NA,NA,NA,NA,"Bombax tocantinum Ducke"
"6","2008-08-19T17:04:14.000+0000","K","Herbarium","K000382351","Bombacopsis tocantina (Ducke) A.Robyns",NA,"Malvaceae","Pachira","tocantina","(Ducke) A.Robyns","Robyns, A.","1962-09-06T00:00:00.000+0000","ISOTYPE","18092",NA,"Ducke, A.",1916,7,19,"Brazil",NA,NA,"Alcobaça (Rio Tocantino).",NA,NA,"http://specimens.kew.org/herbarium/K000382351","Bombacopsis tocantina (Ducke) A.Robyns"
"7",NA,"US","Botany","1443776","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke",NA,NA,"ISOTYPE","18092",NA,"A. Ducke",1916,7,19,"Brazil","Pará",NA,"Alcobaca, Rio Tocantius.",NA,NA,"http://n2t.net/ark:/65665/3e7f5c04e-f53c-4d0a-902c-9424f0397f3f","Bombax tocantinum Ducke"
"8","2017-10-18T16:41:22.000+0000","JBRJ","RB","RB00537255","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke","A. Robyns",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1916,7,19,"Brazil","Pará","Pará","Alcobaça, Rio Tocantins.",NA,NA,"urn:catalog:JBRJ:RB:537255","Bombax tocantinum Ducke"
"9",NA,"F","Botany",NA,"Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke",NA,NA,"TYPE",NA,NA,"A. Ducke",1916,7,19,"Brazil",NA,NA,NA,-52.8731,-10.8339,"fc36f5ea-10f7-44da-bd58-e3874b4fb6d0","Bombax tocantinum Ducke"
"10","2015-04-11T10:14:43.000+0000","S","VascularPlants","S-R-11285","Pachira tocantina (Ducke) Fern.Alonso",NA,"Malvaceae","Pachira","tocantina","(Ducke) Fern.Alonso",NA,NA,NA,"18092","18092","A. Ducke",1916,7,19,"Brazil","Pará",NA,"Alcobaça, near Tocantins",NA,NA,"S:VascularPlants:S-R-11285","Pachira tocantina (Ducke) Fern.Alonso"
"11","2017-10-18T16:48:50.000+0000","JBRJ","RB","RB00534502","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke","A. Robyns",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1916,7,19,"Brazil","Pará","Pará","Alcobaça, Rio Tocantins.",NA,NA,"urn:catalog:JBRJ:RB:534502","Bombax tocantinum Ducke"
"12","2017-10-18T17:04:34.000+0000","JBRJ","RB","RB00537259","Bombax tocantinum Ducke",NA,"Malvaceae","Pachira","tocantinum","Ducke","A. Robyns",NA,"HOLOTYPE",NA,NA,"Ducke, A.",1916,7,19,"Brazil","Pará","Pará","Alcobaça, Rio Tocantins.",NA,NA,"urn:catalog:JBRJ:RB:537259","Bombax tocantinum Ducke"
"13","2015-04-11T13:30:56.000+0000","S","VascularPlants","S-PLE-E4228","Pachira tocantina (Ducke) Fern.Alonso",NA,"Malvaceae","Pachira","tocantina","(Ducke) Fern.Alonso",NA,NA,NA,"s.n.","s.n.","Ducke",NA,NA,NA,"Brazil",NA,NA,"RB 18092",NA,NA,"S:VascularPlants:S-PLE-E4228","Pachira tocantina (Ducke) Fern.Alonso"
