"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","infraspecificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","bibliographicCitation","acceptedNameUsage"
"1",NA,"Reserva Natural Vale (CVRD)","CVRD","14505","Molopanthera paniculata var. paniculata","Rubiaceae","Molopanthera","paniculata","paniculata","var. paniculata","Domingos A. Folli","2013-09-19T00:00:00.000+0000",NA,"7116",NA,"Folli, D.A.",2013,9,19,"Brazil","Es","BAIXO GUANDU",NA,NA,NA,"<ll>dwc_commonname:</ll> Arariba do rego","BRA:CVRD:CVRD:0000014505",NA,"Molopanthera paniculata var. paniculata"
"2","2017-10-10T20:33:32.000+0000","JBRJ","RB","RB00843811","Molopanthera paniculata var. paniculata","Rubiaceae","Molopanthera","paniculata","paniculata","var. paniculata","D.A. Folli","2013-09-19T00:00:00.000+0000",NA,"7116",NA,"D.A. Folli",2013,9,19,"Brazil","Espírito Santo","Baixo Guandu",NA,NA,NA,"Terrestre, porte arbóreo 16m, botão verde, flor amarela","urn:catalog:JBRJ:RB:843811",NA,"Molopanthera paniculata var. paniculata"
"3","2015-10-27T12:04:07.000+0000","JBRJ","RB","RB00733202","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","MARIO GOMES","2015-08-17T00:00:00.000+0000",NA,"11",NA,"C.B.A. Lima",2010,3,4,"Brazil","Rondônia","Porto Velho","Distrito Jacy Paraná. Margem direita do Rio Jacy Paraná. Zona 20L SAD69UTL.",-34,-8,"Árvore com 6m de altura. Casca com aparência lisa. Folha membranácea. Fruto carnoso, indeiscente e de cor verde","urn:catalog:JBRJ:RB:733202",NA,"Molopanthera paniculata Turcz."
"4","2018-08-09T17:33:53.000+0000","JBRJ","RB","RB00860202","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","M.Gomes",NA,NA,"44",NA,"T. Mansur",2009,9,15,"Brazil","Minas Gerais","Joanésia","PHC Ouro Fino; Rio Santo Antônio.",-43.333333,-19.266667,NA,"urn:catalog:JBRJ:RB:860202",NA,"Molopanthera paniculata Turcz."
"5",NA,"IPA","IPA","92280","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","Cano, O.","2009-01-30T00:00:00.000+0000",NA,"3252",NA,"Barros, R.; et al.; et al.",2008,5,29,"Brazil","Piauí","Guaribas","PARNA - Serra das Confusões., Andorinha II.",-43.552222,-9.152222,NA,"BRA:IPA:IPA:0000092280",NA,"Molopanthera paniculata Turcz."
"6",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","11187","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"6262",NA,"H. Lorenzi",2007,5,23,"Brazil","Es","São Domingos do Norte","Coletada na estrada de terra para Colatina-ES, cerca de 4 km de São Domingos em área aberta a 500 m da rodovia.",NA,NA,NA,"BRA:JBP:HPL:0000011187",NA,"Molopanthera paniculata Turcz."
"7",NA,"MBML","MBML-HERBARIO","30576","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","M. A. Pinho-Ferreira/30-07-2007",NA,NA,"2788",NA,"R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz",2007,7,4,"Brazil","Espírito Santo","Águia Branca","Santa Luzia, Prop. Ciro Ferreira",-40.665556,-18.978056,"Árvore 14m, flores de cor branca.","BRA:MBML:MBML-HERBARIO:0000030576",NA,"Molopanthera paniculata Turcz."
"8",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","9335","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"2044",NA,"R. Tsuji",2007,8,23,"Brazil","Es","Soretama","Coletado em beira de estrada, próximo à Reserva da Vale do Rio Doce.",NA,NA,NA,"BRA:JBP:HPL:0000009335",NA,"Molopanthera paniculata Turcz."
"9",NA,"Reserva Natural Vale (CVRD)","CVRD","12815","Molopanthera paniculata var. paniculata","Rubiaceae","Molopanthera","paniculata","paniculata","var. paniculata","Domingos A. Folli","2007-08-23T00:00:00.000+0000",NA,"2044",NA,"Tsuji, R.",2007,8,23,"Brazil","Es","LINHARES",NA,NA,NA,"<ll>dwc_commonname:</ll> Arariba do rego","BRA:CVRD:CVRD:0000012815",NA,"Molopanthera paniculata var. paniculata"
"10",NA,"Instituto Plantarum de Estudos da Flora Ltda (HPL)","HPL","10533","Molopanthera paniculata Turcz.","Rubiaceae","Molopanthera","paniculata",NA,"Turcz.","P.G. Delprete","2011-12-26T00:00:00.000+0000",NA,"2179",NA,"R. Tsuji",2007,9,23,"Brazil","Es","São Domingos do Norte","Coletado na fazenda (Sítio Alto Alegre, Córrego São Domingos) de propriedade do Sr. Juscelino.",NA,NA,NA,"BRA:JBP:HPL:0000010533",NA,"Molopanthera paniculata Turcz."
