"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","recordNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage"
"1",NA,"UEG-UNUCET","HUEG","5083","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, C.E.B.; Proença, C.","2008-01-01T00:00:00.000+0000","279","Paula, J.E.; Faria, J.E.Q.",2008,1,17,"Brazil","Goiás","Anápolis","Rua Silvya V.L.B. Gomes, setor Sul 3ª etapa.",0,0,"Árvore ca. de 6 m; frutos imaturos verdes com os lobos do cálice persistentes; caule estriado.; Mata de galeria.","BRA:UEG-UNUCET:HUEG:0000005083","Psidium canum Mattos"
"2",NA,"UEG-UNUCET","HUEG","5081","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","279","Paula, J.E.; Faria, J.E.Q.",2008,1,17,"Brazil","Goiás","Anápolis","Rua Silvya V.L.B. Gomes, setor Sul 3ª etapa.",0,0,"Árvore ca. de 6 m; frutos imaturos verdes com os lobos do cálice persistentes; caule estriado.; Mata de galeria.","BRA:UEG-UNUCET:HUEG:0000005081","Psidium canum Mattos"
"3",NA,"UEG-UNUCET","HUEG","5084","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, C.E.B.; Proença, C.","2008-01-01T00:00:00.000+0000","279","Heringer, E.P.; Faria, J.E.Q.",2008,1,17,"Brazil","Goiás","Anápolis","Rua Silvya V.L.B. Gomes, setor Sul 3ª etapa.",0,0,"Árvore ca. de 6 m; frutos imaturos verdes com os lobos do cálice persistentes; caule estriado.; Mata de galeria.","BRA:UEG-UNUCET:HUEG:0000005084","Psidium canum Mattos"
"4",NA,"UnB","UB","110484","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"279","Faria, JEQ",2008,1,17,"Brazil","Goiás","Anápolis","Setor Sul, 3ª etapa",0,0,"Frutos imaturos verdes com os lobos do calice persistentes; caule estriado; Árvore 6m; Mata de galeria.","BRA:UnB:UB:0000110484","Psidium canum Mattos"
"5",NA,"UEG-UNUCET","HUEG","5082","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Oliveira, R.S.; Proença, C.","2008-01-01T00:00:00.000+0000","279","Irwin, H.S.; Faria, J.E.Q.",2008,1,17,"Brazil","Goiás","Anápolis","Rua Silvya V.L.B. Gomes, setor Sul 3ª etapa.",0,0,"Árvore ca. de 6 m; frutos imaturos verdes com os lobos do cálice persistentes; caule estriado.; Mata de galeria.","BRA:UEG-UNUCET:HUEG:0000005082","Psidium canum Mattos"
"6",NA,"UnB","UB","121158","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB","2008-01-01T00:00:00.000+0000","56","Kuhlmann, MP",2008,4,29,"Brazil","Distrito Federal","Brasília","Jardim Botânico de Brasília",-47.841542,-15.894639,"Foto em www.frutosatrativosdocerrado.bio.br; Árvore 7m. Fruto amarelado. Zoocórico; Mata de Galeria.","BRA:UnB:UB:0000121158","Psidium canum Mattos"
"7",NA,"UnB","UB","112807","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"258","Faria, JEQ",2007,12,13,"Brazil","Goiás","Anápolis","Setor Sul, 3ª etapa",0,0,"Botões florais supraxilares com 5 lobos calicínios visíveis, caule estriado em placas.; Árvore 6m; Mata de galeria.","BRA:UnB:UB:0000112807","Psidium canum Mattos"
"8",NA,"UnB","UB","112797","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"258","Faria, JEQ",2007,12,13,"Brazil","Goiás","Anápolis",NA,0,0,"Botões supraxilares com 5 lobos calicínios visíveis, caule estriado em placas.; Árvore 6m; Mata de galeria.","BRA:UnB:UB:0000112797","Psidium canum Mattos"
"9",NA,"UEG-UNUCET","HUEG","5129","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","258","Gonçalves, E.G.; Faria, J.E.Q.",2007,12,13,"Brazil","Goiás","Anápolis","Rua Sylvia V.L.B. Gomes, Setor Sul terceira etapa.",0,0,"Árvore de ca. de 6m; botões florais supraxilares, com cinco lobos calicíneos visíveis; caule estriado em placas.; Resquício de mata de galeria","BRA:UEG-UNUCET:HUEG:0000005129","Psidium canum Mattos"
"10",NA,"UEG-UNUCET","HUEG","5128","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","258","Gonçalves, E.G.; Faria, J.E.Q.",2007,12,13,"Brazil","Goiás","Anápolis","Rua Sylvia V.L.B. Gomes, Setor Sul terceira etapa.",0,0,"Árvore de ca. de 6m; botões florais supraxilares, com cinco lobos calicíneos visíveis; caule estriado em placas.; Resquício de mata de galeria","BRA:UEG-UNUCET:HUEG:0000005128","Psidium canum Mattos"
"11",NA,"UEG-UNUCET","HUEG","5131","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","258","Gonçalves, E.G.; Faria, J.E.Q.",2007,12,13,"Brazil","Goiás","Anápolis","Rua Sylvia V.L.B. Gomes, Setor Sul terceira etapa.",0,0,"Árvore de ca. de 6m; botões florais supraxilares, com cinco lobos calicíneos visíveis; caule estriado em placas.; Resquício de mata de galeria","BRA:UEG-UNUCET:HUEG:0000005131","Psidium canum Mattos"
"12",NA,"UEG-UNUCET","HUEG","5132","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","258","Barboza, M.A.; Faria, J.E.Q.",2007,12,13,"Brazil","Goiás","Anápolis","Rua Sylvia V.L.B. Gomes, Setor Sul terceira etapa.",0,0,"Árvore de ca. de 6m; botões florais supraxilares, com cinco lobos calicíneos visíveis; caule estriado em placas.; Resquício de mata de galeria","BRA:UEG-UNUCET:HUEG:0000005132","Psidium canum Mattos"
"13",NA,"UEG-UNUCET","HUEG","5130","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Gonçalves, E.G.; Proença, C.","2008-01-01T00:00:00.000+0000","258","Gonçalves, E.G.; Faria, J.E.Q.",2007,12,13,"Brazil","Goiás","Anápolis","Rua Sylvia V.L.B. Gomes, Setor Sul terceira etapa.",0,0,"Árvore de ca. de 6m; botões florais supraxilares, com cinco lobos calicíneos visíveis; caule estriado em placas.; Resquício de mata de galeria","BRA:UEG-UNUCET:HUEG:0000005130","Psidium canum Mattos"
"14",NA,"UnB","UB","96659","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"42","Jesus, FPR",2000,3,16,"Brazil","Distrito Federal","Brasília","Jardim Botânico de Brasília",-47.85,-15.866667,"Árvore 6m; Mata.","BRA:UnB:UB:0000096659","Psidium canum Mattos"
"15",NA,"USP","SPF","99348","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Faria, JEQ","2012-01-01T00:00:00.000+0000","186","Tamashiro, JY",1994,5,26,"Brazil","São Paulo","Bauru","Parque Ecológico de Bauru",0,0,NA,"BRA:USP:SPF:0000099348","Psidium canum Mattos"
"16",NA,"UnB","UB","96365","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"17","Walter, BMT; Dias, BJ; Mendonça, R; Pereira Neto, M",1989,3,2,"Brazil","Minas Gerais","Ibiá ","MG 230, distante 2km da BR 262",-46.496389,-19.580833,"Em plena frutificação.&nf;; Árvore 6m. Fruto imaturo verde.; .","BRA:UnB:UB:0000096365","Psidium canum Mattos"
"17",NA,"UnB","UB","96705","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"s.n.","Ramos, PCM",1987,11,NA,"Brazil","Distrito Federal","Brasília","Região da Fercal. 30km ao N de Brasília",-47.876389,-15.583333,"Material testemunho da tese de mestrado de Paulo Cezar Mendes Ramos, Pós-graduação em Ecologia. Universidade de Brasília (disponível na Biblioteca Central da UnB).; Floresta mesofítica semi-decídua.","BRA:UnB:UB:0000096705","Psidium canum Mattos"
"18","2018-08-22T13:36:07.000+0000","JBRJ","RB","RB00264672","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","A.C.Tuler",NA,"14553","E. P. Heringer",1975,4,16,"Brazil","Distrito Federal","Brasília","parq. do Guará.",NA,NA,"àrv. com 8m, 20cm de diâm. perenfolia copa densa, fr. alimento para passarinhos flores alvas dispersas na copa","urn:catalog:JBRJ:RB:264672","Psidium canum Mattos"
"19","2014-07-22T12:59:02.000+0000","JBRJ","RB","RB00316580","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","C. Proença",NA,"14856","E.P.Heringer",1975,10,15,"Brazil","Distrito Federal","Brasília","Parque do Guará.",NA,NA,"árvore bem copada, perenifolia, folhagem brilhante, ramos pendentes, flores esparsas em inflorescência, laxas brancas, frutos comestivel, semelhante a um araçá","urn:catalog:JBRJ:RB:316580","Psidium canum Mattos"
"20",NA,"UNICAMP","UEC","11853","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Faria Júnior, J.E.Q.","2009-09-01T00:00:00.000+0000","14030","Heringer, E.P.",1974,9,30,"Brazil","Goiás","Jaraguá","Rodovia Anápolis",0,0,"árvore de 5 metros, caule rígido, flores alvas caducifolia.","BRA:UNICAMP:UEC:0000011853","Psidium canum Mattos"
"21",NA,"UnB","UB","96363","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"14030","Heringer, EP",1974,9,30,"Brazil","Goiás",NA,"Rodovia Anápolis - Jaraguá",0,0,"Caule rígido; flores alvas cauducifolia; Árvore 5m; .","BRA:UnB:UB:0000096363","Psidium canum Mattos"
"22",NA,"UnB","UB","96364","Psidium canum Mattos","Myrtaceae","Psidium","canum","Mattos","Proença, CEB",NA,"6534","Heringer, EP",1958,12,21,"Brazil","Minas Gerais",NA,"Córrego do Leitão",0,0,".","BRA:UnB:UB:0000096364","Psidium canum Mattos"
