"","modified","institutionCode","collectionCode","catalogNumber","scientificName","family","genus","specificEpithet","scientificNameAuthorship","identifiedBy","dateIdentified","typeStatus","recordNumber","fieldNumber","recordedBy","year","month","day","country","stateProvince","municipality","locality","decimalLongitude","decimalLatitude","occurrenceRemarks","occurrenceID","acceptedNameUsage","identificationQualifier","infraspecificEpithet","comments","bibliographicCitation"
"1",NA,"IMA","MAC","44813","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,"6317",NA,"Chagas-Mota",2009,10,18,"Brazil","Alagoas","Palmeira dos Índios","Serra das Pias, Fazenda Fortaleza.",-37.035278,-9.701944,"Arbusto ca. 2 m de altura. Botões cremes.; Agreste.","BRA:IMA:MAC:0000044813","Eugenia laxa DC.",NA,NA,NA,NA
"2",NA,"NY","NY","1019252","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","L. S. Funch","2005-01-01T00:00:00.000+0000",NA,"29",NA,"R. Fonseca",2005,3,29,"Brazil","Bahia",NA,"Px. a Ã¡rea urbana.",-41.4,-12.55,NA,"11ff048a-ed51-4587-84e3-0935e48d21a9","Eugenia laxa DC.",NA,NA,NA,NA
"3",NA,"UESB","HUESB","3191","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","L.Funch","2005-03-01T00:00:00.000+0000",NA,"29",NA,"Fonseca, R.B.S.",2005,3,29,"Brazil","Bahia","Lençóis","Px. A área urbana.",-41.4,-12.55,"Troca de Material.; Arvoreta, ca. 3m alt. Folhas cartáceas, glabras, discolores, com face adaxial verde oliva e face abaxial verde claro, fosca. Frutos imaturos verdes; frutos maduros negros. ; DE","BRA:UESB:HUESB:0000003191","Eugenia laxa DC.",NA,NA,NA,NA
"4",NA,"ASU","ASUPlants","258636","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,NA,NA,"Fonseca, R.B.S.",2005,3,29,"Brazil","Bahia",NA,"Lençóis: Px. a area urbana.",NA,NA,NA,NA,"Eugenia laxa DC.",NA,NA,NA,NA
"5",NA,"ASU","ASUPlants","264387","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,NA,NA,"R.B.S. Fonseca",2005,7,31,"Brazil","Bahia",NA,"Px. a área urbana.",NA,NA,NA,NA,"Eugenia laxa DC.",NA,NA,NA,NA
"6",NA,"ASU","ASUPlants","258641","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,NA,NA,"Fonseca, R.B.S.",2005,7,31,"Brazil","Bahia",NA,"Lençóis: Px. a area urbana.",NA,NA,NA,NA,"Eugenia laxa DC.",NA,NA,NA,NA
"7","2014-09-12T00:00:00.000+0000","K","Herbarium","K001018550","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","Funch, L.",NA,NA,"36",NA,"Fonseca, R.B.S.",2005,7,31,"Brazil",NA,"Lençóis","Px. a área urbana.",-41.4,-12.55,NA,"http://specimens.kew.org/herbarium/K001018550","Eugenia laxa DC.",NA,NA,NA,NA
"8","2014-07-08T02:17:37.000+0000","JBRJ","RB","RB00355779","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","M. Sobral","2006-01-01T00:00:00.000+0000",NA,"022",NA,"F. H. Muniz",1992,2,4,"Brazil","Maranhão","São Luís","Reserva Florestal do Sacavém.",NA,NA,"Arbusto ca. 2,5m, botão floral verde claro, flores brancas.","urn:catalog:JBRJ:RB:355779","Eugenia laxa DC.",NA,NA,NA,NA
"9",NA,"Universidade Federal Rural de Pernambuco, UFRPE","HST","3724","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","M.Sobral","2012-01-01T00:00:00.000+0000",NA,"12712",NA,"D.P.Lima",1971,9,29,"Brazil","Bahia","Porto Seguro","Matas de Vale Verde",NA,NA,"Árvore +- 6m alt. e +- 18cm de diâmetro. Flores esbranquiçadas, pouco perfumadas","BRA:UFRPE:HST:0000003724","Eugenia laxa DC.",NA,NA,NA,NA
"10",NA,"UFSJ","HUFSJ","6846","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.","Sobral, M","2012-01-01T00:00:00.000+0000",NA,"12712",NA,"Lima, DP",1971,9,29,"Brazil","Bahia","Porto Seguro","Matas de Vale Verde.",0,0,"Árvore de aproximadamente 6m de altura e 18cm de diâmetro. Flores esbranquiçadas, pouco perfumadas.","BRA:UFSJ:HUFSJ:0000006846","Eugenia laxa DC.",NA,NA,NA,NA
"11","2015-09-04T20:46:21.000+0000","MNHN","P","P05258603","Myrtus laxa Mart. ex DC.","Myrtaceae","Eugenia","laxa","Mart. ex DC.",NA,NA,NA,NA,74,"Nascimento, L.",1819,1,1,"Brazil",NA,NA,NA,NA,NA,NA,"http://coldb.mnhn.fr/catalognumber/mnhn/p/p05258603","Myrtus laxa Mart. ex DC.",NA,NA,NA,NA
"12",NA,"UEFS","HUEFS","42113","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,NA,NA,"Martius, K.F.P.von",NA,NA,NA,"Brazil","Bahia","Rio de Contas","Villan do Rio das Contas, in prov. Bahiensi.",-41.816667,-13.6,NA,"BRA:UEFS:HUEFS:0000042113","Eugenia laxa DC.",NA,NA,NA,NA
"13",NA,"SNSB-M","BSMvplantscoll","M-0137267 / 526187 / 210679","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,"ISOTYPE",NA,NA,"Martius, C.F.P. von",NA,NA,NA,"Brazil",NA,NA,"Habitat in sylvaticis deserti ad Caiteté Villam do R. das Contas; Provinciae Bahiensis",-55,-10,NA,"http://id.snsb.info/snsb/collection/426863/526187/210679","Eugenia laxa DC.",NA,NA,NA,NA
"14",NA,"UEFS","HUEFS","87531","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,"TYPE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BRA:UEFS:HUEFS:0000087531","Eugenia laxa DC.",NA,NA,NA,NA
"15",NA,"SNSB-M","BSMvplantscoll","M-0137751 / 526299 / 210791","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,"HOLOTYPE",NA,NA,"Martius, C.F.P. von",NA,NA,NA,"Brazil",NA,NA,"Crescit in Brasiliae prov. Bahiensi",-55,-10,NA,"http://id.snsb.info/snsb/collection/426975/526299/210791","Eugenia laxa DC.",NA,NA,NA,NA
"16",NA,"SNSB-M","BSMvplantscoll","M-0137750 / 526298 / 210790","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,"ISOTYPE",NA,NA,"Martius, C.F.P. von",NA,NA,NA,"Brazil",NA,NA,"Brasilia provinc. Bahia",-55,-10,NA,"http://id.snsb.info/snsb/collection/426974/526298/210790","Eugenia laxa DC.",NA,NA,NA,NA
"17","2017-10-18T00:00:00.000+0000","E","E","E00878671","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"http://data.rbge.org.uk/herb/E00878671","Eugenia laxa DC.",NA,NA,NA,NA
"18","2007-09-06T16:57:44.000+0000","K","Herbarium","K000001434","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,NA,"ISOTYPE","s.n.",NA,"Martius",NA,NA,NA,"Brazil",NA,NA,"Villan do Rio das Contas, in prov. Bahiensi.",-41.82,-13.6,"Communic Martius 1828   More information given","http://specimens.kew.org/herbarium/K000001434","Eugenia laxa DC.",NA,NA,NA,NA
"19","2016-02-09T11:38:20.000+0000","MEL","MEL","MEL 1540550A","Eugenia laxa DC.","Myrtaceae","Eugenia","laxa","DC.",NA,"2016-02-09T00:00:00.000+0000","ISOTYPE","s.n.",NA,"Martius, C.F.P.",NA,NA,NA,"Brazil","Bahia",NA,"Bahia, Rio das Contas.",-39,-14.266667,NA,"e073aab7-0915-4059-a758-b3fa2736a143","Eugenia laxa DC.",NA,NA,NA,NA
